route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
67-111,08936,1203-hr1203a7-Sunday-20,0,30.1,2.1,BLUE LINE & ONAWAY RD RTS,41.47213,-81.576698,Blue/Green/Waterfront Line,Light Rail
67-111,08937,1203-hr1203a7-Sunday-20,1,30.1,2.2,BLUE LINE & SOUTHINGTON RD STATION,41.47559,-81.580666,Blue/Green/Waterfront Line,Light Rail
67-111,08938,1203-hr1203a7-Sunday-20,1,30.1,2.2,BLUE LINE & SOUTH WOODLAND RD STATION,41.479004,-81.584572,Blue/Green/Waterfront Line,Light Rail
67-111,08939,1203-hr1203a7-Sunday-20,0,30.1,2.1,BLUE LINE & DREXMORE RD RTS,41.482399,-81.588242,Blue/Green/Waterfront Line,Light Rail
67-111,08983,1203-hr1203a7-Sunday-20,0,30.0,0.0,NORTH COAST STATION,41.506695,-81.69268,Blue/Green/Waterfront Line,Light Rail
67-111,08983,1203-hr1203a7-Sunday-20,1,30.0,0.0,NORTH COAST STATION,41.506695,-81.69268,Blue/Green/Waterfront Line,Light Rail
67-111,09002,1203-hr1203a7-Sunday-20,0,30.0,0.0,FLATS EAST BANK STATION,41.499718,-81.703842,Blue/Green/Waterfront Line,Light Rail
67-111,09002,1203-hr1203a7-Sunday-20,1,30.0,0.0,FLATS EAST BANK STATION,41.499718,-81.703842,Blue/Green/Waterfront Line,Light Rail
67-111,10548,1203-hr1203a7-Sunday-20,0,30.0,0.0,W 3RD ST STATION,41.503635,-81.699394,Blue/Green/Waterfront Line,Light Rail
67-111,10548,1203-hr1203a7-Sunday-20,1,30.0,0.0,W 3RD ST STATION,41.503635,-81.699394,Blue/Green/Waterfront Line,Light Rail
67-111,10925,1203-hr1203a7-Sunday-20,1,30.1,2.2,BLUE LINE & DREXMORE RD STATION,41.482159,-81.588058,Blue/Green/Waterfront Line,Light Rail
67-111,10926,1203-hr1203a7-Sunday-20,0,30.1,2.1,BLUE LINE & SOUTH WOODLAND RD RTS,41.479191,-81.584846,Blue/Green/Waterfront Line,Light Rail
67-111,10927,1203-hr1203a7-Sunday-20,0,30.1,2.1,BLUE LINE & SOUTHINGTON RD RTS,41.475773,-81.58094,Blue/Green/Waterfront Line,Light Rail
67-111,10928,1203-hr1203a7-Sunday-20,1,30.1,2.2,BLUE LINE & ONAWAY RD STATION,41.471951,-81.576424,Blue/Green/Waterfront Line,Light Rail
67-111,10929,1203-hr1203a7-Sunday-20,1,30.1,2.2,BLUE LINE & ASHBY RD STATION,41.468437,-81.572395,Blue/Green/Waterfront Line,Light Rail
67-111,10930,1203-hr1203a7-Sunday-20,1,30.1,2.2,BLUE LINE & AVALON RD STATION,41.466549,-81.558784,Blue/Green/Waterfront Line,Light Rail
67-111,10931,1203-hr1203a7-Sunday-20,0,30.1,2.1,BLUE LINE & KENMORE RD RTS,41.466587,-81.553482,Blue/Green/Waterfront Line,Light Rail
67-111,10934,1203-hr1203a7-Sunday-20,0,29.8,0.8,GREEN LINE & BELVOIR BLVD RTS,41.478474,-81.527184,Blue/Green/Waterfront Line,Light Rail
67-111,10935,1203-hr1203a7-Sunday-20,1,29.8,0.8,GREEN LINE & LEE RD STATION,41.48082,-81.564888,Blue/Green/Waterfront Line,Light Rail
67-111,10936,1203-hr1203a7-Sunday-20,0,29.8,0.8,GREEN LINE & SOUTH PARK BLVD RTS,41.481686,-81.571922,Blue/Green/Waterfront Line,Light Rail
67-111,10937,1203-hr1203a7-Sunday-20,0,29.8,0.8,GREEN LINE & SOUTHINGTON RD RTS,41.482388,-81.577675,Blue/Green/Waterfront Line,Light Rail
67-111,10961,1203-hr1203a7-Sunday-20,0,30.1,2.1,BLUE LINE & FARNSLEIGH RD RTS,41.466511,-81.53923,Blue/Green/Waterfront Line,Light Rail
67-111,10965,1203-hr1203a7-Sunday-20,1,29.8,0.8,GREEN LINE & WEST GREEN RD STATION,41.478519,-81.518494,Blue/Green/Waterfront Line,Light Rail
67-111,18915,1203-hr1203a7-Sunday-20,0,19.6,7.1,TOWER CITY STATION TRACK 10 EAST,41.497211,-81.693848,Blue/Green/Waterfront Line,Light Rail
67-111,18915,1203-hr1203a7-Sunday-20,1,19.6,7.1,TOWER CITY STATION TRACK 10 EAST,41.497211,-81.693848,Blue/Green/Waterfront Line,Light Rail
67-111,28887,1203-hr1203a7-Sunday-20,0,15.0,1.8,E 34TH STATION,41.486359,-81.665627,Blue/Green/Waterfront Line,Light Rail
67-111,28887,1203-hr1203a7-Sunday-20,1,15.0,1.8,E 34TH STATION,41.486359,-81.665627,Blue/Green/Waterfront Line,Light Rail
67-111,28916,1203-hr1203a7-Sunday-20,0,30.0,0.0,TOWER CITY - PUBLIC SQUARE STATION,41.497223,-81.694031,Blue/Green/Waterfront Line,Light Rail
67-111,28916,1203-hr1203a7-Sunday-20,1,30.0,0.0,TOWER CITY - PUBLIC SQUARE STATION,41.497223,-81.694031,Blue/Green/Waterfront Line,Light Rail
67-111,28923,1203-hr1203a7-Sunday-20,0,15.4,3.2,E 79TH BLUE/GREEN STATION,41.480694,-81.633018,Blue/Green/Waterfront Line,Light Rail
67-111,28923,1203-hr1203a7-Sunday-20,1,15.4,3.6,E 79TH BLUE/GREEN STATION,41.480694,-81.633018,Blue/Green/Waterfront Line,Light Rail
67-111,28984,1203-hr1203a7-Sunday-20,0,30.0,0.0,SOUTH HARBOR STATION,41.509823,-81.686577,Blue/Green/Waterfront Line,Light Rail
67-111,28984,1203-hr1203a7-Sunday-20,1,30.0,0.0,SOUTH HARBOR STATION,41.509823,-81.686577,Blue/Green/Waterfront Line,Light Rail
67-111,29001,1203-hr1203a7-Sunday-20,0,30.0,0.0,SETTLERS LANDING STATION,41.496391,-81.70015,Blue/Green/Waterfront Line,Light Rail
67-111,29001,1203-hr1203a7-Sunday-20,1,30.0,0.0,SETTLERS LANDING STATION,41.496391,-81.70015,Blue/Green/Waterfront Line,Light Rail
67-111,29025,1203-hr1203a7-Sunday-20,1,15.5,3.6,E 55TH STATION,41.480621,-81.651672,Blue/Green/Waterfront Line,Light Rail
67-111,30879,1203-hr1203a7-Sunday-20,0,15.1,1.7,E 55TH STATION,41.48056,-81.651772,Blue/Green/Waterfront Line,Light Rail
67-112,08882,1206-hr1206a1-Weekday-20,0,23.3,8.9,BLUE LINE & AVALON RD RTS,41.466511,-81.559151,Blue/Green/Waterfront Line,Light Rail
67-112,08883,1206-hr1206a1-Weekday-20,1,23.3,8.7,BLUE LINE & KENMORE RD STATION,41.466625,-81.553116,Blue/Green/Waterfront Line,Light Rail
67-112,08884,1206-hr1206a1-Weekday-20,0,23.3,8.9,BLUE LINE & LYNNFIELD RD STATION,41.466553,-81.546661,Blue/Green/Waterfront Line,Light Rail
67-112,08884,1206-hr1206a1-Weekday-20,1,23.3,8.8,BLUE LINE & LYNNFIELD RD STATION,41.466553,-81.546661,Blue/Green/Waterfront Line,Light Rail
67-112,08885,1206-hr1206a1-Weekday-20,1,23.3,8.7,BLUE LINE & FARNSLEIGH RD STATION,41.466442,-81.538872,Blue/Green/Waterfront Line,Light Rail
67-112,08886,1206-hr1206a1-Weekday-20,0,23.3,8.9,BLUE LINE & VAN AKEN - WARRENSVILLE STATION,41.465221,-81.537117,Blue/Green/Waterfront Line,Light Rail
67-112,08886,1206-hr1206a1-Weekday-20,1,23.3,8.8,BLUE LINE & VAN AKEN - WARRENSVILLE STATION,41.465221,-81.537117,Blue/Green/Waterfront Line,Light Rail
67-112,08901,1206-hr1206a1-Weekday-20,0,11.8,5.3,WOODHILL RD STATION,41.482822,-81.618004,Blue/Green/Waterfront Line,Light Rail
67-112,08901,1206-hr1206a1-Weekday-20,1,12.0,5.5,WOODHILL RD STATION,41.482822,-81.618004,Blue/Green/Waterfront Line,Light Rail
67-112,08905,1206-hr1206a1-Weekday-20,0,22.7,8.7,GREEN LINE & LEE RD RTS,41.480846,-81.565254,Blue/Green/Waterfront Line,Light Rail
67-112,08906,1206-hr1206a1-Weekday-20,0,23.3,8.8,BLUE LINE & LEE RD STATION,41.466587,-81.565262,Blue/Green/Waterfront Line,Light Rail
67-112,08906,1206-hr1206a1-Weekday-20,1,23.3,8.8,BLUE LINE & LEE RD STATION,41.466587,-81.565262,Blue/Green/Waterfront Line,Light Rail
67-112,08907,1206-hr1206a1-Weekday-20,0,22.7,8.7,GREEN LINE & WARRENSVILLE STATION,41.478489,-81.536484,Blue/Green/Waterfront Line,Light Rail
67-112,08907,1206-hr1206a1-Weekday-20,1,22.7,8.4,GREEN LINE & WARRENSVILLE STATION,41.478489,-81.536484,Blue/Green/Waterfront Line,Light Rail
67-112,08924,1206-hr1206a1-Weekday-20,0,11.8,5.3,E 116TH STATION,41.484131,-81.603638,Blue/Green/Waterfront Line,Light Rail
67-112,08924,1206-hr1206a1-Weekday-20,1,12.0,5.5,E 116TH STATION,41.484131,-81.603638,Blue/Green/Waterfront Line,Light Rail
67-112,08925,1206-hr1206a1-Weekday-20,0,11.8,5.3,SHAKER SQUARE STATION,41.483967,-81.59137,Blue/Green/Waterfront Line,Light Rail
67-112,08925,1206-hr1206a1-Weekday-20,1,12.0,5.5,SHAKER SQUARE STATION,41.483967,-81.59137,Blue/Green/Waterfront Line,Light Rail
67-112,08926,1206-hr1206a1-Weekday-20,0,22.7,8.7,GREEN LINE & COVENTRY RD STATION,41.483231,-81.583939,Blue/Green/Waterfront Line,Light Rail
67-112,08926,1206-hr1206a1-Weekday-20,1,22.7,8.3,GREEN LINE & COVENTRY RD STATION,41.483231,-81.583939,Blue/Green/Waterfront Line,Light Rail
67-112,08927,1206-hr1206a1-Weekday-20,1,22.7,8.3,GREEN LINE & SOUTHINGTON RD STATION,41.48238,-81.577309,Blue/Green/Waterfront Line,Light Rail
67-112,08928,1206-hr1206a1-Weekday-20,1,22.7,8.3,GREEN LINE & SOUTH PARK BLVD STATION,41.481682,-81.571556,Blue/Green/Waterfront Line,Light Rail
67-112,08929,1206-hr1206a1-Weekday-20,0,22.7,8.7,GREEN LINE & ATTLEBORO RD STATION,41.478855,-81.558136,Blue/Green/Waterfront Line,Light Rail
67-112,08929,1206-hr1206a1-Weekday-20,1,22.7,8.4,GREEN LINE & ATTLEBORO RD STATION,41.478855,-81.558136,Blue/Green/Waterfront Line,Light Rail
67-112,08930,1206-hr1206a1-Weekday-20,0,22.7,8.8,GREEN LINE & EATON RD STATION,41.478504,-81.549599,Blue/Green/Waterfront Line,Light Rail
67-112,08930,1206-hr1206a1-Weekday-20,1,22.7,8.4,GREEN LINE & EATON RD STATION,41.478504,-81.549599,Blue/Green/Waterfront Line,Light Rail
67-112,08931,1206-hr1206a1-Weekday-20,0,22.7,8.7,GREEN LINE & COURTLAND BLVD STATION,41.478523,-81.542892,Blue/Green/Waterfront Line,Light Rail
67-112,08931,1206-hr1206a1-Weekday-20,1,22.7,8.4,GREEN LINE & COURTLAND BLVD STATION,41.478523,-81.542892,Blue/Green/Waterfront Line,Light Rail
67-112,08932,1206-hr1206a1-Weekday-20,1,22.7,8.4,GREEN LINE & BELVOIR BLVD STATION,41.478512,-81.526924,Blue/Green/Waterfront Line,Light Rail
67-112,08933,1206-hr1206a1-Weekday-20,0,22.7,8.8,GREEN LINE & WEST GREEN RD RTS,41.478481,-81.518494,Blue/Green/Waterfront Line,Light Rail
67-112,08934,1206-hr1206a1-Weekday-20,0,22.7,8.8,GREEN LINE & GREEN RD STATION,41.478481,-81.517212,Blue/Green/Waterfront Line,Light Rail
67-112,08934,1206-hr1206a1-Weekday-20,1,22.7,8.4,GREEN LINE & GREEN RD STATION,41.478481,-81.517212,Blue/Green/Waterfront Line,Light Rail
67-112,08935,1206-hr1206a1-Weekday-20,0,23.3,8.9,BLUE LINE & ASHBY RD RTS,41.468613,-81.572678,Blue/Green/Waterfront Line,Light Rail
67-112,08936,1206-hr1206a1-Weekday-20,0,23.3,8.8,BLUE LINE & ONAWAY RD RTS,41.47213,-81.576698,Blue/Green/Waterfront Line,Light Rail
67-112,08937,1206-hr1206a1-Weekday-20,1,23.3,8.7,BLUE LINE & SOUTHINGTON RD STATION,41.47559,-81.580666,Blue/Green/Waterfront Line,Light Rail
67-112,08938,1206-hr1206a1-Weekday-20,1,23.3,8.7,BLUE LINE & SOUTH WOODLAND RD STATION,41.479004,-81.584572,Blue/Green/Waterfront Line,Light Rail
67-112,08939,1206-hr1206a1-Weekday-20,0,23.3,8.8,BLUE LINE & DREXMORE RD RTS,41.482399,-81.588242,Blue/Green/Waterfront Line,Light Rail
67-112,10925,1206-hr1206a1-Weekday-20,1,23.3,8.7,BLUE LINE & DREXMORE RD STATION,41.482159,-81.588058,Blue/Green/Waterfront Line,Light Rail
67-112,10926,1206-hr1206a1-Weekday-20,0,23.3,8.8,BLUE LINE & SOUTH WOODLAND RD RTS,41.479191,-81.584846,Blue/Green/Waterfront Line,Light Rail
67-112,10927,1206-hr1206a1-Weekday-20,0,23.3,8.8,BLUE LINE & SOUTHINGTON RD RTS,41.475773,-81.58094,Blue/Green/Waterfront Line,Light Rail
67-112,10928,1206-hr1206a1-Weekday-20,1,23.3,8.7,BLUE LINE & ONAWAY RD STATION,41.471951,-81.576424,Blue/Green/Waterfront Line,Light Rail
67-112,10929,1206-hr1206a1-Weekday-20,1,23.3,8.7,BLUE LINE & ASHBY RD STATION,41.468437,-81.572395,Blue/Green/Waterfront Line,Light Rail
67-112,10930,1206-hr1206a1-Weekday-20,1,23.3,8.7,BLUE LINE & AVALON RD STATION,41.466549,-81.558784,Blue/Green/Waterfront Line,Light Rail
67-112,10931,1206-hr1206a1-Weekday-20,0,23.3,8.9,BLUE LINE & KENMORE RD RTS,41.466587,-81.553482,Blue/Green/Waterfront Line,Light Rail
67-112,10934,1206-hr1206a1-Weekday-20,0,22.7,8.8,GREEN LINE & BELVOIR BLVD RTS,41.478474,-81.527184,Blue/Green/Waterfront Line,Light Rail
67-112,10935,1206-hr1206a1-Weekday-20,1,22.7,8.3,GREEN LINE & LEE RD STATION,41.48082,-81.564888,Blue/Green/Waterfront Line,Light Rail
67-112,10936,1206-hr1206a1-Weekday-20,0,22.7,8.7,GREEN LINE & SOUTH PARK BLVD RTS,41.481686,-81.571922,Blue/Green/Waterfront Line,Light Rail
67-112,10937,1206-hr1206a1-Weekday-20,0,22.7,8.7,GREEN LINE & SOUTHINGTON RD RTS,41.482388,-81.577675,Blue/Green/Waterfront Line,Light Rail
67-112,10961,1206-hr1206a1-Weekday-20,0,23.3,8.9,BLUE LINE & FARNSLEIGH RD RTS,41.466511,-81.53923,Blue/Green/Waterfront Line,Light Rail
67-112,10965,1206-hr1206a1-Weekday-20,1,22.7,8.4,GREEN LINE & WEST GREEN RD STATION,41.478519,-81.518494,Blue/Green/Waterfront Line,Light Rail
67-112,18915,1206-hr1206a1-Weekday-20,0,14.1,2.9,TOWER CITY STATION TRACK 10 EAST,41.497211,-81.693848,Blue/Green/Waterfront Line,Light Rail
67-112,18915,1206-hr1206a1-Weekday-20,1,14.1,2.9,TOWER CITY STATION TRACK 10 EAST,41.497211,-81.693848,Blue/Green/Waterfront Line,Light Rail
67-112,28887,1206-hr1206a1-Weekday-20,0,11.8,4.5,E 34TH STATION,41.486359,-81.665627,Blue/Green/Waterfront Line,Light Rail
67-112,28887,1206-hr1206a1-Weekday-20,1,11.6,4.7,E 34TH STATION,41.486359,-81.665627,Blue/Green/Waterfront Line,Light Rail
67-112,28916,1206-hr1206a1-Weekday-20,0,11.5,1.3,TOWER CITY - PUBLIC SQUARE STATION,41.497223,-81.694031,Blue/Green/Waterfront Line,Light Rail
67-112,28916,1206-hr1206a1-Weekday-20,1,11.6,1.8,TOWER CITY - PUBLIC SQUARE STATION,41.497223,-81.694031,Blue/Green/Waterfront Line,Light Rail
67-112,28923,1206-hr1206a1-Weekday-20,0,11.8,5.3,E 79TH BLUE/GREEN STATION,41.480694,-81.633018,Blue/Green/Waterfront Line,Light Rail
67-112,28923,1206-hr1206a1-Weekday-20,1,12.0,5.5,E 79TH BLUE/GREEN STATION,41.480694,-81.633018,Blue/Green/Waterfront Line,Light Rail
67-112,29025,1206-hr1206a1-Weekday-20,1,12.8,5.3,E 55TH STATION,41.480621,-81.651672,Blue/Green/Waterfront Line,Light Rail
67-112,30879,1206-hr1206a1-Weekday-20,0,12.7,4.2,E 55TH STATION,41.48056,-81.651772,Blue/Green/Waterfront Line,Light Rail
67-112,08882,1206-hr1206a6-Saturday-20,0,30.1,2.1,BLUE LINE & AVALON RD RTS,41.466511,-81.559151,Blue/Green/Waterfront Line,Light Rail
67-112,08883,1206-hr1206a6-Saturday-20,1,30.1,2.2,BLUE LINE & KENMORE RD STATION,41.466625,-81.553116,Blue/Green/Waterfront Line,Light Rail
67-112,08884,1206-hr1206a6-Saturday-20,0,30.1,2.1,BLUE LINE & LYNNFIELD RD STATION,41.466553,-81.546661,Blue/Green/Waterfront Line,Light Rail
67-112,08884,1206-hr1206a6-Saturday-20,1,30.1,2.2,BLUE LINE & LYNNFIELD RD STATION,41.466553,-81.546661,Blue/Green/Waterfront Line,Light Rail
67-112,08885,1206-hr1206a6-Saturday-20,1,30.1,2.2,BLUE LINE & FARNSLEIGH RD STATION,41.466442,-81.538872,Blue/Green/Waterfront Line,Light Rail
67-112,08886,1206-hr1206a6-Saturday-20,0,30.1,2.1,BLUE LINE & VAN AKEN - WARRENSVILLE STATION,41.465221,-81.537117,Blue/Green/Waterfront Line,Light Rail
67-112,08886,1206-hr1206a6-Saturday-20,1,30.1,2.2,BLUE LINE & VAN AKEN - WARRENSVILLE STATION,41.465221,-81.537117,Blue/Green/Waterfront Line,Light Rail
67-112,08901,1206-hr1206a6-Saturday-20,0,15.4,3.2,WOODHILL RD STATION,41.482822,-81.618004,Blue/Green/Waterfront Line,Light Rail
67-112,08901,1206-hr1206a6-Saturday-20,1,15.4,3.6,WOODHILL RD STATION,41.482822,-81.618004,Blue/Green/Waterfront Line,Light Rail
67-112,08905,1206-hr1206a6-Saturday-20,0,29.8,0.8,GREEN LINE & LEE RD RTS,41.480846,-81.565254,Blue/Green/Waterfront Line,Light Rail
67-112,08906,1206-hr1206a6-Saturday-20,0,30.1,2.1,BLUE LINE & LEE RD STATION,41.466587,-81.565262,Blue/Green/Waterfront Line,Light Rail
67-112,08906,1206-hr1206a6-Saturday-20,1,30.1,2.2,BLUE LINE & LEE RD STATION,41.466587,-81.565262,Blue/Green/Waterfront Line,Light Rail
67-112,08907,1206-hr1206a6-Saturday-20,0,29.8,0.8,GREEN LINE & WARRENSVILLE STATION,41.478489,-81.536484,Blue/Green/Waterfront Line,Light Rail
67-112,08907,1206-hr1206a6-Saturday-20,1,29.8,0.8,GREEN LINE & WARRENSVILLE STATION,41.478489,-81.536484,Blue/Green/Waterfront Line,Light Rail
67-112,08924,1206-hr1206a6-Saturday-20,0,15.4,3.2,E 116TH STATION,41.484131,-81.603638,Blue/Green/Waterfront Line,Light Rail
67-112,08924,1206-hr1206a6-Saturday-20,1,15.4,3.6,E 116TH STATION,41.484131,-81.603638,Blue/Green/Waterfront Line,Light Rail
67-112,08925,1206-hr1206a6-Saturday-20,0,15.4,3.2,SHAKER SQUARE STATION,41.483967,-81.59137,Blue/Green/Waterfront Line,Light Rail
67-112,08925,1206-hr1206a6-Saturday-20,1,15.4,3.6,SHAKER SQUARE STATION,41.483967,-81.59137,Blue/Green/Waterfront Line,Light Rail
67-112,08926,1206-hr1206a6-Saturday-20,0,29.8,0.8,GREEN LINE & COVENTRY RD STATION,41.483231,-81.583939,Blue/Green/Waterfront Line,Light Rail
67-112,08926,1206-hr1206a6-Saturday-20,1,29.8,0.8,GREEN LINE & COVENTRY RD STATION,41.483231,-81.583939,Blue/Green/Waterfront Line,Light Rail
67-112,08927,1206-hr1206a6-Saturday-20,1,29.8,0.8,GREEN LINE & SOUTHINGTON RD STATION,41.48238,-81.577309,Blue/Green/Waterfront Line,Light Rail
67-112,08928,1206-hr1206a6-Saturday-20,1,29.8,0.8,GREEN LINE & SOUTH PARK BLVD STATION,41.481682,-81.571556,Blue/Green/Waterfront Line,Light Rail
67-112,08929,1206-hr1206a6-Saturday-20,0,29.8,0.8,GREEN LINE & ATTLEBORO RD STATION,41.478855,-81.558136,Blue/Green/Waterfront Line,Light Rail
67-112,08929,1206-hr1206a6-Saturday-20,1,29.8,0.8,GREEN LINE & ATTLEBORO RD STATION,41.478855,-81.558136,Blue/Green/Waterfront Line,Light Rail
67-112,08930,1206-hr1206a6-Saturday-20,0,29.8,0.8,GREEN LINE & EATON RD STATION,41.478504,-81.549599,Blue/Green/Waterfront Line,Light Rail
67-112,08930,1206-hr1206a6-Saturday-20,1,29.8,0.8,GREEN LINE & EATON RD STATION,41.478504,-81.549599,Blue/Green/Waterfront Line,Light Rail
67-112,08931,1206-hr1206a6-Saturday-20,0,29.8,0.8,GREEN LINE & COURTLAND BLVD STATION,41.478523,-81.542892,Blue/Green/Waterfront Line,Light Rail
67-112,08931,1206-hr1206a6-Saturday-20,1,29.8,0.8,GREEN LINE & COURTLAND BLVD STATION,41.478523,-81.542892,Blue/Green/Waterfront Line,Light Rail
67-112,08932,1206-hr1206a6-Saturday-20,1,29.8,0.8,GREEN LINE & BELVOIR BLVD STATION,41.478512,-81.526924,Blue/Green/Waterfront Line,Light Rail
67-112,08933,1206-hr1206a6-Saturday-20,0,29.8,0.8,GREEN LINE & WEST GREEN RD RTS,41.478481,-81.518494,Blue/Green/Waterfront Line,Light Rail
67-112,08934,1206-hr1206a6-Saturday-20,0,29.8,0.8,GREEN LINE & GREEN RD STATION,41.478481,-81.517212,Blue/Green/Waterfront Line,Light Rail
67-112,08934,1206-hr1206a6-Saturday-20,1,29.8,0.8,GREEN LINE & GREEN RD STATION,41.478481,-81.517212,Blue/Green/Waterfront Line,Light Rail
67-112,08935,1206-hr1206a6-Saturday-20,0,30.1,2.1,BLUE LINE & ASHBY RD RTS,41.468613,-81.572678,Blue/Green/Waterfront Line,Light Rail
67-112,08936,1206-hr1206a6-Saturday-20,0,30.1,2.1,BLUE LINE & ONAWAY RD RTS,41.47213,-81.576698,Blue/Green/Waterfront Line,Light Rail
67-112,08937,1206-hr1206a6-Saturday-20,1,30.1,2.2,BLUE LINE & SOUTHINGTON RD STATION,41.47559,-81.580666,Blue/Green/Waterfront Line,Light Rail
67-112,08938,1206-hr1206a6-Saturday-20,1,30.1,2.2,BLUE LINE & SOUTH WOODLAND RD STATION,41.479004,-81.584572,Blue/Green/Waterfront Line,Light Rail
67-112,08939,1206-hr1206a6-Saturday-20,0,30.1,2.1,BLUE LINE & DREXMORE RD RTS,41.482399,-81.588242,Blue/Green/Waterfront Line,Light Rail
67-112,08983,1206-hr1206a6-Saturday-20,0,30.0,0.0,NORTH COAST STATION,41.506695,-81.69268,Blue/Green/Waterfront Line,Light Rail
67-112,08983,1206-hr1206a6-Saturday-20,1,30.0,0.0,NORTH COAST STATION,41.506695,-81.69268,Blue/Green/Waterfront Line,Light Rail
67-112,09002,1206-hr1206a6-Saturday-20,0,30.0,0.0,FLATS EAST BANK STATION,41.499718,-81.703842,Blue/Green/Waterfront Line,Light Rail
67-112,09002,1206-hr1206a6-Saturday-20,1,30.0,0.0,FLATS EAST BANK STATION,41.499718,-81.703842,Blue/Green/Waterfront Line,Light Rail
67-112,10548,1206-hr1206a6-Saturday-20,0,30.0,0.0,W 3RD ST STATION,41.503635,-81.699394,Blue/Green/Waterfront Line,Light Rail
67-112,10548,1206-hr1206a6-Saturday-20,1,30.0,0.0,W 3RD ST STATION,41.503635,-81.699394,Blue/Green/Waterfront Line,Light Rail
67-112,10925,1206-hr1206a6-Saturday-20,1,30.1,2.2,BLUE LINE & DREXMORE RD STATION,41.482159,-81.588058,Blue/Green/Waterfront Line,Light Rail
67-112,10926,1206-hr1206a6-Saturday-20,0,30.1,2.1,BLUE LINE & SOUTH WOODLAND RD RTS,41.479191,-81.584846,Blue/Green/Waterfront Line,Light Rail
67-112,10927,1206-hr1206a6-Saturday-20,0,30.1,2.1,BLUE LINE & SOUTHINGTON RD RTS,41.475773,-81.58094,Blue/Green/Waterfront Line,Light Rail
67-112,10928,1206-hr1206a6-Saturday-20,1,30.1,2.2,BLUE LINE & ONAWAY RD STATION,41.471951,-81.576424,Blue/Green/Waterfront Line,Light Rail
67-112,10929,1206-hr1206a6-Saturday-20,1,30.1,2.2,BLUE LINE & ASHBY RD STATION,41.468437,-81.572395,Blue/Green/Waterfront Line,Light Rail
67-112,10930,1206-hr1206a6-Saturday-20,1,30.1,2.2,BLUE LINE & AVALON RD STATION,41.466549,-81.558784,Blue/Green/Waterfront Line,Light Rail
67-112,10931,1206-hr1206a6-Saturday-20,0,30.1,2.1,BLUE LINE & KENMORE RD RTS,41.466587,-81.553482,Blue/Green/Waterfront Line,Light Rail
67-112,10934,1206-hr1206a6-Saturday-20,0,29.8,0.8,GREEN LINE & BELVOIR BLVD RTS,41.478474,-81.527184,Blue/Green/Waterfront Line,Light Rail
67-112,10935,1206-hr1206a6-Saturday-20,1,29.8,0.8,GREEN LINE & LEE RD STATION,41.48082,-81.564888,Blue/Green/Waterfront Line,Light Rail
67-112,10936,1206-hr1206a6-Saturday-20,0,29.8,0.8,GREEN LINE & SOUTH PARK BLVD RTS,41.481686,-81.571922,Blue/Green/Waterfront Line,Light Rail
67-112,10937,1206-hr1206a6-Saturday-20,0,29.8,0.8,GREEN LINE & SOUTHINGTON RD RTS,41.482388,-81.577675,Blue/Green/Waterfront Line,Light Rail
67-112,10961,1206-hr1206a6-Saturday-20,0,30.1,2.1,BLUE LINE & FARNSLEIGH RD RTS,41.466511,-81.53923,Blue/Green/Waterfront Line,Light Rail
67-112,10965,1206-hr1206a6-Saturday-20,1,29.8,0.8,GREEN LINE & WEST GREEN RD STATION,41.478519,-81.518494,Blue/Green/Waterfront Line,Light Rail
67-112,18915,1206-hr1206a6-Saturday-20,0,19.6,7.1,TOWER CITY STATION TRACK 10 EAST,41.497211,-81.693848,Blue/Green/Waterfront Line,Light Rail
67-112,18915,1206-hr1206a6-Saturday-20,1,19.6,7.1,TOWER CITY STATION TRACK 10 EAST,41.497211,-81.693848,Blue/Green/Waterfront Line,Light Rail
67-112,28887,1206-hr1206a6-Saturday-20,0,15.0,1.8,E 34TH STATION,41.486359,-81.665627,Blue/Green/Waterfront Line,Light Rail
67-112,28887,1206-hr1206a6-Saturday-20,1,15.0,1.8,E 34TH STATION,41.486359,-81.665627,Blue/Green/Waterfront Line,Light Rail
67-112,28916,1206-hr1206a6-Saturday-20,0,30.0,0.0,TOWER CITY - PUBLIC SQUARE STATION,41.497223,-81.694031,Blue/Green/Waterfront Line,Light Rail
67-112,28916,1206-hr1206a6-Saturday-20,1,30.0,0.0,TOWER CITY - PUBLIC SQUARE STATION,41.497223,-81.694031,Blue/Green/Waterfront Line,Light Rail
67-112,28923,1206-hr1206a6-Saturday-20,0,15.4,3.2,E 79TH BLUE/GREEN STATION,41.480694,-81.633018,Blue/Green/Waterfront Line,Light Rail
67-112,28923,1206-hr1206a6-Saturday-20,1,15.4,3.6,E 79TH BLUE/GREEN STATION,41.480694,-81.633018,Blue/Green/Waterfront Line,Light Rail
67-112,28984,1206-hr1206a6-Saturday-20,0,30.0,0.0,SOUTH HARBOR STATION,41.509823,-81.686577,Blue/Green/Waterfront Line,Light Rail
67-112,28984,1206-hr1206a6-Saturday-20,1,30.0,0.0,SOUTH HARBOR STATION,41.509823,-81.686577,Blue/Green/Waterfront Line,Light Rail
67-112,29001,1206-hr1206a6-Saturday-20,0,30.0,0.0,SETTLERS LANDING STATION,41.496391,-81.70015,Blue/Green/Waterfront Line,Light Rail
